파일명,랜드마크
KETI_SL_0000010900.mp4,"[0.5173936254448361, 0.9069175256623162, 8.259383202060791e-09, 0.5121200349595811, 0.9228413436147902, -0.00552258534460432, 0.5095434453752306, 0.9514888392554389, -0.007086080874109434, 0.5099448528554704, 0.9781494869126214, -0.007268574632083376, 0.5095498992337121, 0.9977539645300971, -0.006811341904621158, 0.5073761343955994, 0.971426248550415, -0.0060458300738698905, 0.5082998308870528, 1.005561437871721, -0.008440260387336215, 0.5097582307126787, 1.0165688726637099, -0.009881058138691716, 0.5109711024496291, 1.0201187663608127, -0.01031070730338494, 0.5114298098617129, 0.9733036226696439, -0.00334831891167495, 0.5126092235247294, 1.006610049141778, -0.004522610365206169, 0.5136115451653799, 1.0174723996056452, -0.005054983252193779, 0.5147347019778358, 1.0216833882861667, -0.005414564708998013, 0.5159939295715756, 0.9726509584320916, -0.0009464036007153077, 0.5177808602650961, 1.003637022442288, -0.0019486271129507157, 0.518525544140074, 1.0147003134091694, -0.0017948296697846268, 0.5194305976231893, 1.0201989677217271, -0.0016117841458051568, 0.5204136206044091, 0.9707200394736396, 0.0011175539758470324, 0.522083987792333, 0.9978404839833578, 0.000291589078389936, 0.5229976740148332, 1.0093082653151617, 0.000804034918676027, 0.5242542889383104, 1.0154652926656935, 0.0015499063754557734]"
KETI_SL_0000010901.mp4,"[0.5134122636583116, 0.9052694307433234, 2.4956091218244737e-08, 0.5081569486194186, 0.9212168057759603, -0.005984755646851327, 0.505448967218399, 0.9498052000999451, -0.007902547820574708, 0.5056979788674248, 0.9766087399588691, -0.008298339943091074, 0.5054214265611436, 0.9965367780791389, -0.008128782604924507, 0.5021335118346744, 0.9680215054088168, -0.007174883658687274, 0.5021337568759918, 1.0028928716977437, -0.009635133668780327, 0.5028202136357626, 1.0175779792997572, -0.010979863556308879, 0.5035197602377998, 1.0250529448191326, -0.011414392592592372, 0.505802164475123, 0.9697716103659736, -0.004354792181402445, 0.5062777400016785, 1.0040868785646226, -0.005781064379132456, 0.5070531566937765, 1.0181825028525457, -0.006154005726178487, 0.5081444448894925, 1.0256375339296129, -0.006305846282177501, 0.5102585090531243, 0.9692512353261312, -0.0018050330982077867, 0.5116077727741666, 1.001461923122406, -0.0030925422130773463, 0.5122771163781484, 1.015892055299547, -0.00292754794160525, 0.5131405393282572, 1.02474625243081, -0.002640786014833591, 0.5146820545196533, 0.9676074650552537, 0.00039598257798287604, 0.5162052181031969, 0.9956321583853828, -0.0007777289396876262, 0.5171147618028853, 1.0092224809858534, -0.0003870998431618015, 0.5182821353276571, 1.0179074274169073, 0.0003566055545686848]"
KETI_SL_0000010902.mp4,"[0.5262753739953041, 0.8949934765696526, 2.6947834852464325e-08, 0.5156091526150703, 0.9088106825947762, -0.005301997982314788, 0.5099140033125877, 0.9375723823904991, -0.007501951913582161, 0.5093307122588158, 0.9663638174533844, -0.008371369185624644, 0.5083425045013428, 0.9874405562877655, -0.008834781910991296, 0.5112577825784683, 0.9528352171182632, -0.008189804037101567, 0.5106767080724239, 0.989467017352581, -0.011691743566188961, 0.510706577450037, 1.0028527677059174, -0.013570528477430344, 0.51105847209692, 1.0090617462992668, -0.014329897239804268, 0.5184335224330425, 0.9556079730391502, -0.006276791478740051, 0.5171760134398937, 0.9914603680372238, -0.00844208017224446, 0.5163659192621708, 1.0054815635085106, -0.009166221658233553, 0.5165127739310265, 1.0133816376328468, -0.00965169642586261, 0.5254891738295555, 0.9561091661453247, -0.004566445742966607, 0.525501474738121, 0.989855632185936, -0.006452131143305451, 0.5247250944375992, 1.0033553391695023, -0.006276076892390847, 0.5246353521943092, 1.0115942806005478, -0.0060358809714671224, 0.531831968575716, 0.9554571062326431, -0.0031300576665671542, 0.5322687439620495, 0.9843589887022972, -0.004948859132127836, 0.5317479409277439, 0.9976091086864471, -0.004643586384190712, 0.5318971090018749, 1.0062358602881432, -0.0039805614760553]"
KETI_SL_0000010903.mp4,"[0.5288575477898121, 0.9115382358431816, 2.1592837740058712e-08, 0.5215286947786808, 0.9265580251812935, -0.005338270653737709, 0.5170446671545506, 0.9545221626758575, -0.00689149706158787, 0.5164824575185776, 0.981385163962841, -0.007113594008842483, 0.5157337039709091, 1.0014622211456299, -0.006880143308080733, 0.5159670263528824, 0.9742794036865234, -0.006312721408903599, 0.5166354775428772, 1.0084275230765343, -0.008801521558780223, 0.5179894715547562, 1.0217388197779655, -0.010178590368013829, 0.5186343565583229, 1.028676100075245, -0.010712807532399893, 0.5214067846536636, 0.9764954969286919, -0.003960194590035826, 0.522571973502636, 1.0095470622181892, -0.005532327762921341, 0.523664940148592, 1.022509977221489, -0.006187446793774143, 0.5240636318922043, 1.030259594321251, -0.0065882162598427385, 0.5272071696817875, 0.9759669452905655, -0.0018444982069922844, 0.5292109400033951, 1.006739817559719, -0.0033188696834258735, 0.5300256907939911, 1.019899420440197, -0.003206876659533009, 0.5301847048103809, 1.0285227075219154, -0.0029980091203469783, 0.5327564291656017, 0.9738140776753426, -3.444304456934333e-05, 0.534573033452034, 1.000369556248188, -0.001387232172419317, 0.5354064479470253, 1.0126523450016975, -0.001007261515042046, 0.5358128771185875, 1.0209474191069603, -0.00027678231708705425]"
KETI_SL_0000010904.mp4,"[0.5287711657583714, 0.9121292158961296, 3.9202314144892725e-08, 0.5220328532159328, 0.9263450801372528, -0.004347810783656314, 0.5181087963283062, 0.9547706916928291, -0.005326672398950905, 0.5180729739367962, 0.9813283607363701, -0.0051468950405251235, 0.5176784954965115, 1.0007191970944405, -0.004591209799400531, 0.5182784162461758, 0.9749103114008904, -0.005552894435822964, 0.5180584751069546, 1.0082772076129913, -0.007831336406525224, 0.5180710032582283, 1.0242125242948532, -0.009035918454173952, 0.5181767344474792, 1.0337608009576797, -0.009457531268708408, 0.5231701545417309, 0.977124959230423, -0.0038129853492137045, 0.5233342759311199, 1.010426752269268, -0.00526362715754658, 0.5234960541129112, 1.0261127054691315, -0.005771918105892837, 0.5237409770488739, 1.0364497005939484, -0.005959651141893119, 0.5283618681132793, 0.9769197925925255, -0.002255805911772768, 0.5296407602727413, 1.0081134289503098, -0.0036033279611729085, 0.5298394449055195, 1.0241579860448837, -0.003475172823527828, 0.5300327353179455, 1.0354796051979065, -0.003169745672494173, 0.5335066355764866, 0.9750231504440308, -0.0009520966414129362, 0.5350261963903904, 1.0023627430200577, -0.002210250233474653, 0.5356723330914974, 1.016887441277504, -0.0017983543657464907, 0.5364103019237518, 1.027189239859581, -0.000991518740192987]"
KETI_SL_0000010905.mp4,"[0.5274882651865482, 0.886668398976326, 3.188012542842955e-08, 0.5206163302063942, 0.9013283848762512, -0.005152700585313141, 0.5169791094958782, 0.9297816008329391, -0.0071917681489139795, 0.5164699964225292, 0.9574055895209312, -0.00798527678125538, 0.5153866782784462, 0.9782334566116333, -0.00839102829922922, 0.5168993510305882, 0.9458322823047638, -0.008044899383094162, 0.5161614529788494, 0.980364017188549, -0.011368135281372815, 0.5155871957540512, 0.9962372854351997, -0.012829920509830117, 0.5152471773326397, 1.0050828605890274, -0.013299599522724748, 0.5207727737724781, 0.9476426839828491, -0.0063234825793188065, 0.5201272219419479, 0.9828109890222549, -0.008670493494719267, 0.5197136476635933, 0.997916541993618, -0.009078333270736039, 0.5194058008491993, 1.0067832097411156, -0.009198366082273424, 0.524864673614502, 0.9473309367895126, -0.004795674285560381, 0.5251105688512325, 0.9807777255773544, -0.006880000961245969, 0.5247728228569031, 0.9961191266775131, -0.0064722635434009135, 0.5245018526911736, 1.0058121755719185, -0.005949754413450137, 0.5289315395057201, 0.9455741569399834, -0.0035712332173716277, 0.5294762402772903, 0.9748073443770409, -0.0054096189414849505, 0.5295992866158485, 0.9890033230185509, -0.004916473408229649, 0.5299956724047661, 0.9982203543186188, -0.004019263906229753]"
KETI_SL_0000010906.mp4,"[0.5320922359824181, 0.9109280481934547, 3.183548358265398e-08, 0.525220949202776, 0.9256456643342972, -0.005885620863409713, 0.5214262902736664, 0.9552471414208412, -0.007655502704437822, 0.5213172845542431, 0.983276829123497, -0.00797515467274934, 0.5209307335317135, 1.0041241943836212, -0.007850570575101301, 0.5204004645347595, 0.9738443344831467, -0.007314596587093547, 0.520750280469656, 1.0084932446479797, -0.010223171324469149, 0.5217756368219852, 1.0243718922138214, -0.011829208757262677, 0.5227883569896221, 1.0335156321525574, -0.012480591889470816, 0.525320079177618, 0.9763319343328476, -0.00487362255807966, 0.5261064097285271, 1.010734811425209, -0.006856976309791207, 0.5271046571433544, 1.0259234309196472, -0.007641509000677615, 0.5280593037605286, 1.035370096564293, -0.008074916549958289, 0.5307512059807777, 0.976157084107399, -0.002704836238990538, 0.5324905775487423, 1.008376732468605, -0.004532725462922826, 0.5335179232060909, 1.0232211202383041, -0.0045396144851110876, 0.5344064719974995, 1.0331577211618423, -0.0043400764698162675, 0.536129780113697, 0.9744536206126213, -0.0008874050945451017, 0.5380035787820816, 1.0023995712399483, -0.002540891226090025, 0.5392189472913742, 1.016280122101307, -0.002306087531906087, 0.5404504798352718, 1.0256935805082321, -0.0016407372531830333]"
KETI_SL_0000010907.mp4,"[0.5308315344154835, 0.9120367765426636, 1.8683312674738772e-08, 0.5234409607946873, 0.9266336187720299, -0.00551008855109103, 0.5194691233336926, 0.9550616964697838, -0.007269689536769874, 0.5193900354206562, 0.98250462859869, -0.0076954931719228625, 0.5191357843577862, 1.002723790705204, -0.0076373942429199815, 0.5187660492956638, 0.9742623791098595, -0.006920050131157041, 0.5195464193820953, 1.0084543451666832, -0.009936768154148012, 0.5205128043889999, 1.0211906880140305, -0.011666740116197616, 0.5214319750666618, 1.0273195579648018, -0.012349450262263417, 0.5243136398494244, 0.9767615646123886, -0.004626515321433544, 0.5255418010056019, 1.0100092887878418, -0.006496854068245739, 0.5263319239020348, 1.022494986653328, -0.007204705325420946, 0.5273781344294548, 1.029285117983818, -0.0075795071898028255, 0.5301122851669788, 0.9766510128974915, -0.002612621508887969, 0.5321383662521839, 1.0075913220643997, -0.004223143128911033, 0.5327587127685547, 1.0202219784259796, -0.003983337519457564, 0.5336364395916462, 1.0279550403356552, -0.0036307029804447666, 0.5354784242808819, 0.974888950586319, -0.0009446023468626663, 0.5374326445162296, 1.002116248011589, -0.002460776246152818, 0.5382467247545719, 1.014594927430153, -0.002082271756080445, 0.5393782146275043, 1.0226450264453888, -0.0012937939486619143]"
KETI_SL_0000010908.mp4,"[0.5318849198520184, 0.9093958884477615, 4.598514591336311e-08, 0.5244090035557747, 0.9255107194185257, -0.004942134575685486, 0.5206704698503017, 0.9533737152814865, -0.006704417319269851, 0.5210984796285629, 0.9797458872199059, -0.007280500198248774, 0.5209110155701637, 0.9995301738381386, -0.007548001507529989, 0.521153163164854, 0.9738962948322296, -0.006248063611565158, 0.5228038430213928, 1.0070442110300064, -0.00905020849313587, 0.5238388814032078, 1.023097649216652, -0.01075937453424558, 0.5245376527309418, 1.03288172185421, -0.011585013242438436, 0.5273211114108562, 0.9753344282507896, -0.004474375920835882, 0.528998538851738, 1.008389063179493, -0.006393786636181176, 0.5297604016959667, 1.024068683385849, -0.007340508978813887, 0.5304072946310043, 1.0343778729438782, -0.007975347223691642, 0.5336034819483757, 0.9738659039139748, -0.002944791627669474, 0.5357301235198975, 1.0051093101501465, -0.004699434415670112, 0.5362824685871601, 1.0209435746073723, -0.004809549645869993, 0.5366862937808037, 1.0321464091539383, -0.00477775270701386, 0.5394741967320442, 0.970672495663166, -0.0017106848245020956, 0.5413553901016712, 0.9974548146128654, -0.0033836760849226266, 0.5420227572321892, 1.0117589458823204, -0.003212749812519178, 0.5427019894123077, 1.0221107602119446, -0.0026620483986334875]"
KETI_SL_0000010909.mp4,"[0.5317157097160816, 0.9117796942591667, 3.564470296701927e-08, 0.5238677859306335, 0.9264487102627754, -0.006016429979354143, 0.5199568942189217, 0.9550944194197655, -0.007911003136541694, 0.520180132240057, 0.982620008289814, -0.00829990187776275, 0.5196629501879215, 1.0029601454734802, -0.008219034527428448, 0.5192253515124321, 0.9741240292787552, -0.007292224297998473, 0.5200820975005627, 1.0085391029715538, -0.010052098659798503, 0.521063257008791, 1.024226799607277, -0.01160854916088283, 0.5218562297523022, 1.0331473052501678, -0.012263760203495622, 0.5249513685703278, 0.976415142416954, -0.00464499113149941, 0.5261710323393345, 1.0098377615213394, -0.006432255089748651, 0.5268688723444939, 1.0249341577291489, -0.0070788313751108944, 0.5276743471622467, 1.034457877278328, -0.0074528875993564725, 0.5309532172977924, 0.9762363880872726, -0.002298455983691383, 0.5327971056103706, 1.0072904974222183, -0.0038855145903653465, 0.533313013613224, 1.0224582105875015, -0.0037717766972491518, 0.5338870175182819, 1.032984882593155, -0.0035387946118135005, 0.5364263840019703, 0.9744981303811073, -0.00032680136791896075, 0.5380528047680855, 1.001663289964199, -0.0018737320679065306, 0.5387987531721592, 1.015679955482483, -0.0016454831493319944, 0.5397443287074566, 1.0255523920059204, -0.0009886463376460597]"
